native_id	scan	ms_level	rt_min	precursor_ref	precursor_mz	signal_sha256	inside_requested_window
controllerType=0 controllerNumber=1 scan=18173	18173	2	48.270924	controllerType=0 controllerNumber=1 scan=18170	530.5062	0b40884e213f048348fd1b019f02f13f2df29f0b34004e0a632d949cc6b91812	True
controllerType=0 controllerNumber=1 scan=18174	18174	2	48.271657	controllerType=0 controllerNumber=1 scan=18170	554.271118164063	68c74c77f078a15f7086e94f3da3eebecc4c0c5ed26713e5780cf13fab80fed6	True
controllerType=0 controllerNumber=1 scan=18175	18175	2	48.272407	controllerType=0 controllerNumber=1 scan=18170	647.6449	e3a4445a09510d772323f86120c05f93d21541dc46e718cac22cf16dba1242b5	True
controllerType=0 controllerNumber=1 scan=18176	18176	2	48.273151	controllerType=0 controllerNumber=1 scan=18170	440.2465	533fb4034cf31f186bc1c73f05288cff3e67255877b3b3420c39907e7f123f28	True
controllerType=0 controllerNumber=1 scan=18177	18177	2	48.273885	controllerType=0 controllerNumber=1 scan=18170	561.2607421875	60c582a017ae2a2bcbe664dc1e3db08732783955f88fe6854a8622a3e6c94574	True
controllerType=0 controllerNumber=1 scan=18178	18178	2	48.274647	controllerType=0 controllerNumber=1 scan=18170	578.2995	da7bb2807634a5f10f202740c8a3902b400004cd759691a347fc18b8d734081d	True
controllerType=0 controllerNumber=1 scan=18179	18179	2	48.27538	controllerType=0 controllerNumber=1 scan=18170	563.2763671875	c77c972f29350ecbcb90e5c4220b573fc2f986f8c888c47dd1b210c0079b329a	True
controllerType=0 controllerNumber=1 scan=18180	18180	2	48.275855	controllerType=0 controllerNumber=1 scan=18170	537.751708984375	1fa01492aeb4399f3e9ae169a9696745ed578dc9de5e01b185af449a07b528bd	True
controllerType=0 controllerNumber=1 scan=18181	18181	2	48.27646	controllerType=0 controllerNumber=1 scan=18170	478.797180175781	076849b0a2ac947189e060b246cbad54a3cc5b6a1d7ee850b561a1bd569e5f02	True
controllerType=0 controllerNumber=1 scan=18182	18182	2	48.277201	controllerType=0 controllerNumber=1 scan=18170	779.85400390625	836b458355520fa44b18e81c8b62daa4645b0113f203199dc1675f592e4c98ad	True
controllerType=0 controllerNumber=1 scan=18183	18183	2	48.277962	controllerType=0 controllerNumber=1 scan=18170	770.7302	5a2d400593b765b372d05f99a91e0c0cca0991cb857209bf6f4cbe88aad266df	True
controllerType=0 controllerNumber=1 scan=18184	18184	2	48.278691	controllerType=0 controllerNumber=1 scan=18170	430.254913330078	5f9585bece4b4efed46470f3cf3960ec71683c6cc573f1a26aef22458cee029d	True
