sample	sample_group	study_group	n_peptides	n_features	intensity
S01	CAMPI_28a7af2530ce4f2a4318205896bdcefcbc675aea00c20b738f4ba282c7bae5a9	CAMPI_28a7af2530ce4f2a4318205896bdcefcbc675aea00c20b738f4ba282c7bae5a9	1	1	138457803.00874305
S01	CAMPI_2abd1c4e0e501afaad3dd7bf8e48726ef1af3ca58a77013971edc27fb75f9664	CAMPI_2abd1c4e0e501afaad3dd7bf8e48726ef1af3ca58a77013971edc27fb75f9664	1	1	45688513.162791245
S01	CAMPI_2c10b4268545258dd6ad45d601a9fcfa69f7019177ad1a07c52b18575e04745d	CAMPI_2c10b4268545258dd6ad45d601a9fcfa69f7019177ad1a07c52b18575e04745d	4	4	509355185.78706396
S01	CAMPI_2d4de2301dedbe186e3d6a965226acdbb6035caee1ed6b50c9b216c470932736	CAMPI_2d4de2301dedbe186e3d6a965226acdbb6035caee1ed6b50c9b216c470932736	1	1	46190734.788050264
S01	CAMPI_2e77453cf6ea9d7e0a97291d98277f1a5447c79f7a8f301d55d8de8dcf71185b	CAMPI_2e77453cf6ea9d7e0a97291d98277f1a5447c79f7a8f301d55d8de8dcf71185b	1	1	74039087.29100218
S01	CAMPI_2f67c88d740384b3d68654f5caf45fd1b49b3e329ec1df8d65d718dbede9acad	CAMPI_2f67c88d740384b3d68654f5caf45fd1b49b3e329ec1df8d65d718dbede9acad	1	1	10330207.48337377
S01	CAMPI_2f77b7a4fff0da3e4e6824b9266cbbab861478b61ebe8915b7efc0e747461761	CAMPI_2f77b7a4fff0da3e4e6824b9266cbbab861478b61ebe8915b7efc0e747461761	4	4	277193832.60688305
S01	CAMPI_3090cc03d7d9a4015e6607c7008d258d99b15b4dfec5db660eadfea94b8fe9fa	CAMPI_3090cc03d7d9a4015e6607c7008d258d99b15b4dfec5db660eadfea94b8fe9fa	1	1	8587475.709267693
S01	CAMPI_314d3920e394e5498ff9d5ceed582f37a4698e4851d24acb16143df8a68b2f32	CAMPI_314d3920e394e5498ff9d5ceed582f37a4698e4851d24acb16143df8a68b2f32	2	2	108766713.48568317
S01	CAMPI_3175ae76fed48f167caa3191bd5ad56e9e6e134cc720eb5fd72540fcb2089194	CAMPI_3175ae76fed48f167caa3191bd5ad56e9e6e134cc720eb5fd72540fcb2089194	2	2	1638680010.8944335
S01	CAMPI_319e328616d8124d78b1ae822129122ccdd28910dd3d403861689209bb3a0ca1	CAMPI_319e328616d8124d78b1ae822129122ccdd28910dd3d403861689209bb3a0ca1	1	1	14806645.398110075
S01	CAMPI_32a48b0fb364385ac9d12191cb5cefd42fdadacbf7526e5b66d449a56bd0675d	CAMPI_32a48b0fb364385ac9d12191cb5cefd42fdadacbf7526e5b66d449a56bd0675d	1	1	13008070.033277715
S01	CAMPI_33c314188113ac35ac8da34857d1253ab6638ca25f05c680462057f4c1986f15	CAMPI_33c314188113ac35ac8da34857d1253ab6638ca25f05c680462057f4c1986f15	2	2	239525850.57896525
S01	CAMPI_33ec7d6891ceca06e6e44e0bb43968e4c0ad5b0ee9473de84a8575ac4989d3ea	CAMPI_33ec7d6891ceca06e6e44e0bb43968e4c0ad5b0ee9473de84a8575ac4989d3ea	1	1	4612469.059618931
S01	CAMPI_3492d01055a2084dd10b8e7ec2fe68c2bf0d52132ff68d94abf22c5bee13a4c2	CAMPI_3492d01055a2084dd10b8e7ec2fe68c2bf0d52132ff68d94abf22c5bee13a4c2	1	1	14068713.248399565
S01	CAMPI_3541bddcfa7bced407672d21303bfd2dbc402ce95e3a2b7ad9f4b0639be65e27	CAMPI_3541bddcfa7bced407672d21303bfd2dbc402ce95e3a2b7ad9f4b0639be65e27	1	1	27161058.493148003
